CONTROL_STORE,CORR_SALES,CORR_CUST,DIST_SALES,DIST_CUST,SCORE_DIST_SALES,SCORE_DIST_CUST,FINAL_SCORE
179,-0.47205078390056954,-0.39220504715665916,728.0875000000001,59.875,0.3964437978836933,0.33613445378151263,-0.032919394848005684
180,-0.4195712057604029,-0.21195849926306945,646.4124999999999,57.625,0.46582637366138047,0.3613445378151261,0.048910301613258544
181,0.3381348507772942,0.4536340662448519,942.1812500000001,72.375,0.2145720399050688,0.196078431372549,0.300604847074941
182,0.017631685158876795,-0.09376651067827389,146.1,7.375,0.8908397797681938,0.9243697478991597,0.4347686755369891
183,0.0745692202393286,-0.13565523254290401,577.425,51.125,0.5244309704959464,0.4341736694677871,0.22437965691503953
184,0.4759332020206122,0.12834808529785563,650.25,53.625,0.46256643323227875,0.4061624649859944,0.36825254638418525
185,-0.05149784347027615,-0.09155696231414953,38.73750000000001,6.25,0.9820437808937759,0.9369747899159664,0.44399094125632915
186,-0.4846943549253605,-0.6443558646033201,85.2875,10.125,0.9424997478059114,0.8935574229691877,0.17675173781160466
187,0.45675422974761526,0.4801190843011916,34.412499999999994,8.5,0.9857178505630565,0.9117647058823529,0.7085889676235541
188,0.010574927267325882,-0.0628148634537008,31.1,5.25,0.9885318056565807,0.9481792717086834,0.4711177852947223
189,0.13969042756531475,-0.13197567023841772,125.05000000000001,13.375,0.9087216679851551,0.8571428571428572,0.4433948206137273
190,-0.20094186478889164,0.18152129832381236,572.075,51.5,0.5289757734394496,0.42997198879551823,0.23488179894247213
191,0.285908427781988,0.3896410175313988,608.425,53.375,0.49809659829994646,0.40896358543417366,0.39565240726187667
192,0.5555416087786538,0.21403844341910677,209.2,36.25,0.8372365899111747,0.6008403361344538,0.5519142445608473
194,0.04898795412050888,-0.06458919480856823,842.01875,65.375,0.29965967071416066,0.27450980392156865,0.1396420584869175
195,0.3861637898411231,0.3882104355109485,51.14375000000001,7.5,0.9715047226661429,0.9229691876750701,0.6672120339233212
196,0.18026194858585226,-0.16731919821861901,615.5375,54.125,0.492054558872719,0.4005602240896359,0.22638938333239703
197,0.33440251723823033,-0.05517939531403308,87.8,6.375,0.9403653894142195,0.9355742296918768,0.5387906852575735
198,-0.0685767427843252,-0.11396057645963799,220.85000000000002,39.5,0.8273399629407423,0.5644257703081232,0.3023071035012256
199,0.18828836692925927,0.2596327760082459,994.175,75.125,0.17040356363520537,0.165266106442577,0.1958977032538219
200,-0.09002950874591072,0.09151059802825862,242.37499999999997,12.625,0.8090545641820682,0.865546218487395,0.4190204679879528
201,-0.3830118859806329,0.08921439936243653,925.075,72.25,0.2291037287559664,0.19747899159663862,0.03319630843360216
202,0.5338933150613208,0.34124580217393025,256.11249999999995,9.5,0.7973846145677925,0.9005602240896359,0.6432709889731698
203,0.21402512658616912,0.14715142985063584,1016.5875000000001,76.5,0.1513642372854359,0.14985994397759106,0.16560018442495797
204,0.12368146858091361,0.18907715852483697,205.15,37.625,0.8406770482142004,0.5854341736694677,0.4347174622473547
205,0.3292739831085566,0.15288810736866804,39.45000000000001,7.0,0.9814385150812065,0.9285714285714286,0.598043008532465
207,0.1754181273362268,-0.17822509000580966,614.9375,56.25,0.4925642563990932,0.37675070028011204,0.21662699850240558
208,-0.27662613496295524,-0.45494365083770155,491.53125,42.625,0.5973973570059519,0.5294117647058824,0.09880983397779436
209,-0.15361218132665935,-0.12894641181903543,583.7875,51.0,0.5190260529766867,0.43557422969187676,0.16801042238071717
210,0.18113391981848825,-0.10242857108561863,878.1375,65.375,0.2689769414962808,0.27450980392156865,0.15554802353767977
212,0.07346468327493413,0.19172522805920078,462.54999999999995,39.5,0.622016809399672,0.5644257703081232,0.36290812276048257
213,0.35926025888932256,0.17949019676302355,787.575,69.875,0.3459094118833854,0.22408963585434172,0.2771873758475183
214,0.07839272586593617,0.12892712663020317,33.325,6.0,0.9866416773296097,0.9397759103641457,0.5334343600474737
215,0.08408370037520076,-0.43650732392664976,137.45,7.75,0.8981879191067551,0.9201680672268908,0.36648309069554924
216,0.28354192937424644,0.2273704365335781,845.625,68.875,0.29659617620668244,0.23529411764705888,0.26070066494039146
217,0.2869987533888499,-0.07424085037900144,912.5625,64.0,0.23973304592056155,0.2899159663865546,0.18560172882924114
219,0.019848976643125273,0.1415093667971378,579.8625,51.25,0.5223603242950512,0.4327731092436975,0.2791229442447529
220,-0.10473738561555246,-0.5175709514208556,39.83749999999999,7.0,0.9811093354287566,0.9285714285714286,0.3218431067409443
221,0.28317345107187036,0.07082142317965108,642.925,57.5,0.46878899053343037,0.36274509803921573,0.2963822407060419
